Id,Name,Protocol,Options
halo,Halo (2003),gamespy2,port=2302
halo2,Halo 2 (2007),gamespy2,port=2302
heretic2,Heretic II (1998),gamespy1,port=27900;port_query_offset=1
hexen2,Hexen II (1997),hexen2,port=26900;port_query_offset=50
hfnaw,Holdfast: Nations at War (2020),source,port=27000
hidden,The Hidden (2005),source,port=27015
hl2dm,Half-Life 2: Deathmatch (2004),source,port=27015
hldm,Half-Life Deathmatch (1998),source,port=27015
hldms,Half-Life Deathmatch: Source (2005),source,port=27015
hll,Hell Let Loose (2021),source,port=27015
homefront,Homefront (2011),source,port=27015
homeworld2,Homeworld 2 (2003),gamespy1,port_query=6500
hurtworld,Hurtworld (2015),source,port=12871;port_query=12881

igi2,I.G.I.-2: Covert Strike (2003),gamespy1,port_query=26001
il2,IL-2 Sturmovik (2001),gamespy1,port_query=21000
insurgency,Insurgency (2014),source,port=27015
insurgencysandstorm,Insurgency: Sandstorm (2018),source,port=27015;port_query_offset=1
ironstorm,Iron Storm (2002),gamespy1,port_query=3505

jamesbondnightfire,James Bond 007: Nightfire (2002),gamespy1,port_query=6550
jbep3,Jabroni Brawl: Episode 3 (2022),source,port=27015
jc3mp,Just Cause 3 - Multiplayer (2017),source,port=4200;port_query_offset=1

killingfloor,Killing Floor (2009),unreal2,port=7707;port_query_offset=1
killingfloor2,Killing Floor 2 (2016),source,port=7777;port_query=27015
kingpin,Kingpin: Life of Crime (1999),gamespy1,port=31510;port_query_offset=-10
kisspc,Kiss: Psycho Circus: The Nightmare Child (2000),gamespy1,port=7777;port_query_offset=1
kzmod,Kreedz Climbing (2017),source,port=27015

leadandgold,Lead and Gold: Gangs of the Wild West (2010),source,port=27015;port_query_offset=1
left4dead,Left 4 Dead (2008),source,port=27015
left4dead2,Left 4 Dead 2 (2009),source,port=27015

medievalengineers,Medieval Engineers (2015),source,port=27015
minecraft,Minecraft (2009),minecraft,port=25565
minecraftpe,Minecraft: Bedrock Edition (2011),raknet,port=19132
mnc,Monday Night Combat (2011),source,port=7777;port_query=27016
moh2010,Medal of Honor (2010),battlefield,port=7673;port_query=48888
mohaa,Medal of Honor: Allied Assault (2002),gamespy1,port=12203;port_query_offset=97
mohab,Medal of Honor: Airborne (2007),gamespy1,port=12203;port_query_offset=97
mohbt,Medal of Honor: Allied Assault Breakthrough (2003),gamespy1,port=12203;port_query_offset=97
mohpa,Medal of Honor: Pacific Assault (2004),gamespy1,port=13203;port_query_offset=97
mohsh,Medal of Honor: Allied Assault Spearhead (2002),gamespy1,port=12203;port_query_offset=97
mohwf,Medal of Honor: Warfighter (2012),battlefield,port=25200;port_query_offset=22000
mordhau,Mordhau (2019),source,port=7777;port_query=27015
mtasa,Grand Theft Auto: San Andreas - Multi Theft Auto (2004),ase,port=22003;port_query_offset=123
mtavc,Grand Theft Auto: Vice City - Multi Theft Auto (2002),ase,port=22003;port_query_offset=123

nab,Nerf Arena Blast (1999),gamespy1,port=4444;port_query_offset=1
nascarthunder2004,NASCAR Thunder 2004 (2003),gamespy2,port_query=13333
netpanzer,netPanzer (2002),gamespy1,port=3030
nexuiz,Nexuiz (2005),quake3,port_query=26000
nfshp2,Need for Speed: Hot Pursuit 2 (2002),gamespy1,port_query=61220
nitrofamily,Nitro Family (2004),gamespy1,port_query=25601
nmrih,No More Room in Hell (2011),source,port=27015
nolf,The Operative: No One Lives Forever (2000),gamespy1,port_query=27888
nolf2,No One Lives Forever 2: A Spy in H.A.R.M.'s Way (2002),gamespy1,port_query=27890
nos,No One Survived (2023),source,port_query=48203
ns,Natural Selection (2002),source,port=27015
ns2,Natural Selection 2 (2012),source,port_query_offset=1
nucleardawn,Nuclear Dawn (2011),source,port=27015
nwn,Neverwinter Nights (2002),nwn1,port=5121
nwn2,Neverwinter Nights 2 (2006),nwn2,port=5121

openarena,OpenArena (2005),quake3,port_query=27960
operationharsh,Operation: Harsh Doorstop (2023),source,port_query=27005

painkiller,Painkiller (2004),ase,port=3455;port_query_offset=123
pixark,PixARK (2018),source,port=7777;port_query=27015
postal2,Postal 2 (2003),gamespy1,port=7777;port_query_offset=1
prbf2,Project Reality: Battlefield 2 (2005),gamespy3,port=16567;port_query=29900
prey,Prey (2017),doom3,port=27719
primalcarnage,Primal Carnage: Extinction (2015),source,port=7777;port_query=27015
przomboid,Project Zomboid (2013),source,port=16261
ps,Post Scriptum (2018),source,port=10027;port_query=10037

quake1,Quake 1: QuakeWorld (1996),quake1,port=27500
quake2,Quake 2 (1997),quake2,port=27910
quake3,Quake 3: Arena (1999),quake3,port=27960
quake4,Quake 4 (2005),doom3,port=28004
quakelive,Quake Live (2010),source,port=27960

r6,Rainbow Six (1998),gamespy1,port_query=2348
r6ravenshield,Rainbow Six 3: Raven Shield (2003),gamespy1,port=7777;port_query_offset=1000
r6roguespear,Rainbow Six 2: Rogue Spear (1999),gamespy1,port_query=2346
ragdollkungfu,Rag Doll Kung Fu (2005),source,port=27015
rallisportchallenge,RalliSport Challenge (2002),gamespy1,port_query=17500
rallymasters,Rally Masters (2000),gamespy1,port_query=16666
redline,Redline (1999),gamespy1,port_query=25252
redm,Red Dead Redemption 2 - RedM (2016),fivem,port=30120
redorchestra,Red Orchestra (2011),unreal2,port=7758;port_query_offset=1
redorchestra2,Red Orchestra 2 (2011),source,port=7777;port_query=27015
redorchestraost,Red Orchestra: Ostfront 41-45 (2006),gamespy1,port=7757;port_query_offset=10
ricochet,Ricochet (2000),source,port=27015
riseofnations,Rise of Nations (2003),gamespy1,port_query=6501
rs2,Rising Storm 2: Vietnam (2017),source,port=27015
rtcw,Return to Castle Wolfenstein (2001),quake3,port_query=27960
rune,Rune (2000),gamespy1,port=7777;port_query_offset=1
rust,Rust (2018),source,port=28015

samp,San Andreas Multiplayer (2006),samp,port=7777
satisfactory,Satisfactory (2019),satisfactory,port_query=15777
scum,SCUM (2018),scum,port=27015
shatteredhorizon,Shattered Horizon (2009),source,port=27015
ship,The Ship (2006),source,port=27015
shogo,Shogo (1998),gamespy1,port_query=27888
sin,SiN,gamespy1,port_query=22450
sinep,SiN Episodes,source,port=27015
sof,Soldier of Fortune,quake1,port_query=28910
sof2,Soldier of Fortune 2,quake3,port_query=20100
soldat,Soldat,ase,port=13073;port_query_offset=123
sonsforest,Sons Of The Forest (2023),source,port=27015;port_query_offset=1
spaceengineers,Space Engineers,source,port=27015
squad,Squad,source,port=7787;port_query=27165
ss,Serious Sam,gamespy1,port=25600;port_query_offset=1
ss2,Serious Sam 2,gamespy2,port=25600
stalker,S.T.A.L.K.E.R.,gamespy3,port=5445;port_query_offset=2
starbound,Starbound,source,port=21025
stbc,Star Trek: Bridge Commander,gamespy1,port_query=22101
stvef,Star Trek: Voyager - Elite Force,quake3,port_query=27960
stvef2,Star Trek: Voyager - Elite Force 2,quake3,port_query=29253
suicidesurvival,Suicide Survival,source,port=27015
svencoop,Sven Coop,source,port=27015
swat4,SWAT 4,gamespy2,port=10480;port_query_offset=2
swbf,Star Wars: Battlefront,gamespy2,port_query=3658
swbf2,Star Wars: Battlefront 2,gamespy2,port_query=3658
swjk,Star Wars Jedi Knight: Jedi Academy (2003),quake3,port_query=29070
swjk2,Star Wars Jedi Knight II: Jedi Outcast (2002),quake3,port_query=28070
swrc,Star Wars: Republic Commando,gamespy2,port=7777;port_query=11138
synergy,Synergy,source,port=27015

tacticalops,Tactical Ops,gamespy1,port=7777;port_query_offset=1
takeonhelicopters,Take On Helicopters (2011),gamespy1,port=2302;port_query_offset=1
teamfactor,Team Factor,gamespy1,port_query=57778
teamspeak3,Teamspeak 3,teamspeak3,port=10011
terminus,Terminus,gamespy1,port_query=12286
terraria,Terraria - TShock (2011),terraria,port=7777;port_query_offset=101
tf2,Team Fortress 2,source,port=27015
tfc,Team Fortress Classic,source,port=27015
theisle,The Isle (2015),source,port_query=7778
thespecialists,The Specialists (2002),source,port=27015
thps3,Tony Hawk's Pro Skater 3,gamespy1,port_query=6500
thps4,Tony Hawk's Pro Skater 4,gamespy1,port_query=6500
thu2,Tony Hawk's Underground 2,gamespy1,port_query=5153
towerunite,Tower Unite,source,port=27015
tremulous,Tremulous,quake3,port_query=30720
tribesvengeance,Tribes: Vengeance,gamespy2,port=7777;port_query_offset=1
tron20,Tron 2.0,gamespy2,port_query=27888
turok2,Turok 2,gamespy1,port_query=12880

universalcombat,Universal Combat,ase,port=1135;port_query_offset=123
unreal,Unreal,gamespy1,port=7777;port_query_offset=1
unturned,Unturned,source,port=27015;port_query_offset=1
urbanterror,Urban Terror,quake3,port_query=27960
ut,Unreal Tournament,gamespy1,port=7777;port_query_offset=1
ut2003,Unreal Tournament 2003,unreal2,port=7757;port_query_offset=1
ut2004,Unreal Tournament 2004,unreal2,port=7777;port_query_offset=1
ut3,Unreal Tournament 3,ut3,port=7777;port_query_offset=-1277

v8supercar,V8 Supercar Challenge,gamespy1,port_query=16700
valheim,Valheim (2021),source,port=2456;port_query_offset=1
vcmp,Vice City Multiplayer,vcmp,port=8192
vietcong,Vietcong,gamespy1,port=5425;port_query=15425
vietcong2,Vietcong 2,gamespy2,port=5001;port_query=19967
vrising,V Rising,source,port=9876;port_query=9877

warsow,Warsow,quake3,port=44400
wheeloftime,Wheel of Time,gamespy1,port=7777;port_query_offset=1
wolfenstein2009,Wolfenstein 2009,doom3,port=27666
wolfensteinet,Wolfenstein: Enemy Territory,quake3,port_query=27960

xpandrally,Xpand Rally,ase,port=28015;port_query_offset=123

zombiemaster,Zombie Master,source,port=27015
zps,Zombie Panic: Source,source,port=27015
